         4189763 function calls (3931303 primitive calls) in 425.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7  269.036   38.434  269.036   38.434 {built-in method builtins.input}
        7    0.125    0.018  119.769   17.110 /home/ubuntu/plasma-converter/src/tests/lean_game_test_with_model.py:72(send_code_read_json)
    17913    0.031    0.000  101.972    0.006 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/expect.py:153(expect_loop)
      510    0.003    0.000  101.578    0.199 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:416(read_nonblocking)
       14    0.000    0.000  101.570    7.255 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/spawnbase.py:385(expect_exact)
      617    0.001    0.000  101.561    0.165 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:449(select)
      617    0.001    0.000  101.560    0.165 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/utils.py:130(select_ignore_interrupts)
      617  101.559    0.165  101.559    0.165 {built-in method select.select}
        1    0.000    0.000   29.808   29.808 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/entrypoints/llm.py:112(__init__)
        1    0.000    0.000   29.808   29.808 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:526(from_engine_args)
        1    0.000    0.000   29.693   29.693 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:191(__init__)
       11    0.000    0.000   28.238    2.567 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/multiproc_gpu_executor.py:164(_run_workers)
        1    0.000    0.000   22.756   22.756 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:441(_initialize_kv_caches)
1984/1982    0.012    0.000   22.271    0.011 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/utils/_contextlib.py:113(decorate_context)
        1    0.000    0.000   21.233   21.233 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/distributed_gpu_executor.py:49(initialize_cache)
        1    0.000    0.000   21.232   21.232 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:251(initialize_cache)
        1    0.000    0.000   15.742   15.742 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:279(_warm_up_model)
        1    0.001    0.001   15.741   15.741 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1202(capture_model)
       35    0.002    0.000   15.338    0.438 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1550(capture)
       72   11.719    0.163   11.719    0.163 {built-in method gc.collect}
    17920    0.039    0.000   11.712    0.001 /opt/conda/envs/pytorch/lib/python3.10/json/__init__.py:299(loads)
    17920    0.041    0.000   11.660    0.001 /opt/conda/envs/pytorch/lib/python3.10/json/decoder.py:332(decode)
    17920   10.723    0.001   11.592    0.001 /opt/conda/envs/pytorch/lib/python3.10/json/decoder.py:343(raw_decode)
42454/1435    0.066    0.000    9.726    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/nn/modules/module.py:1549(_wrapped_call_impl)
42454/1435    0.170    0.000    9.723    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/nn/modules/module.py:1555(_call_impl)
        7    0.000    0.000    6.535    0.934 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:1016(inner)
        7    0.000    0.000    6.535    0.934 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/entrypoints/llm.py:269(generate)
        1    0.000    0.000    6.518    6.518 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/distributed_gpu_executor.py:18(__init__)
        1    0.000    0.000    6.518    6.518 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/executor_base.py:24(__init__)
        1    0.001    0.001    6.518    6.518 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/multiproc_gpu_executor.py:33(_init_executor)
        7    0.002    0.000    6.514    0.931 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/entrypoints/llm.py:682(_run_engine)
      660    0.012    0.000    6.499    0.010 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:1425(step)
      660    0.001    0.000    6.348    0.010 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/distributed_gpu_executor.py:67(execute_model)
      667    0.015    0.000    6.344    0.010 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/multiproc_gpu_executor.py:154(_driver_execute_model)
      667    0.009    0.000    6.328    0.009 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:295(execute_model)
      661    0.018    0.000    6.245    0.009 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1398(execute_model)
       35    0.001    0.000    5.701    0.163 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/graphs.py:170(__enter__)
     1386    5.530    0.004    5.530    0.004 {built-in method torch.zeros}
        1    0.000    0.000    5.491    5.491 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:267(_init_cache_engine)
        1    0.000    0.000    5.491    5.491 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:269(<listcomp>)
        1    0.000    0.000    5.491    5.491 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/cache_engine.py:23(__init__)
        2    0.000    0.000    5.490    2.745 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/cache_engine.py:70(_allocate_kv_cache)
      113    0.001    0.000    4.984    0.044 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:421(forward)
      113    0.025    0.000    4.982    0.044 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:307(forward)
      661    0.004    0.000    4.464    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:442(sample)
      661    0.014    0.000    4.449    0.007 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:207(forward)
        7    0.000    0.000    4.404    0.629 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:36(__init__)
        7    0.000    0.000    4.404    0.629 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:240(_spawn)
        7    0.000    0.000    4.402    0.629 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/pty_spawn.py:313(_spawnpty)
        7    0.001    0.000    4.402    0.629 /opt/conda/envs/pytorch/lib/python3.10/site-packages/ptyprocess/ptyprocess.py:178(spawn)
      541    4.232    0.008    4.232    0.008 {built-in method posix.read}
        1    0.000    0.000    3.991    3.991 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:181(load_model)
        1    0.000    0.000    3.991    3.991 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:914(load_model)
      661    0.006    0.000    3.797    0.006 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:948(_sample)
      661    0.094    0.000    3.791    0.006 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:733(_sample_with_torch)
        1    0.000    0.000    3.789    3.789 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/__init__.py:13(get_model)
        1    0.067    0.067    3.789    3.789 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/loader.py:332(load_model)
      661    0.006    0.000    3.630    0.005 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:679(get_pythonized_sample_results)
      660    0.005    0.000    3.617    0.005 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:467(_greedy_sample)
      919    3.611    0.004    3.611    0.004 {method 'tolist' of 'torch._C.TensorBase' objects}
     3390    0.052    0.000    3.214    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:236(forward)
        1    0.050    0.050    3.183    3.183 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:464(load_weights)
     3538    3.110    0.001    3.110    0.001 {method 'copy_' of 'torch._C.TensorBase' objects}
     3390    0.051    0.000    2.020    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:171(forward)
      113    0.000    0.000    1.679    0.015 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/models/llama.py:304(get_input_embeddings)
      113    0.955    0.008    1.677    0.015 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/vocab_parallel_embedding.py:388(forward)
        1    0.000    0.000    1.522    1.522 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/distributed_gpu_executor.py:28(determine_num_available_blocks)
        1    0.000    0.000    1.522    1.522 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:203(determine_num_available_blocks)
      667    0.001    0.000    1.379    0.002 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:273(prepare_input)
        1    0.001    0.001    1.378    1.378 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:1044(profile_run)
      660    0.009    0.000    1.378    0.002 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:244(_get_driver_input_and_broadcast)
      528    1.346    0.003    1.346    0.003 {built-in method time.sleep}
        1    0.000    0.000    1.300    1.300 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker.py:153(init_device)
       60    0.002    0.000    1.051    0.018 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/linear.py:428(weight_loader)
   527/33    0.003    0.000    1.013    0.031 <frozen importlib._bootstrap>:1022(_find_and_load)
   477/20    0.003    0.000    1.012    0.051 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   449/20    0.003    0.000    1.009    0.050 <frozen importlib._bootstrap>:664(_load_unlocked)
   389/20    0.001    0.000    1.008    0.050 <frozen importlib._bootstrap_external>:877(exec_module)
   638/20    0.001    0.000    1.004    0.050 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   587/20    0.027    0.000    1.003    0.050 {built-in method builtins.exec}
6708/6678    0.021    0.000    0.991    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:76(wrapper)
        1    0.000    0.000    0.988    0.988 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/gpu_executor.py:101(_create_worker)
        1    0.000    0.000    0.987    0.987 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/executor/gpu_executor.py:16(create_worker)
        1    0.000    0.000    0.987    0.987 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:430(init_worker)
     3390    0.018    0.000    0.986    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/layer.py:88(forward)
     3390    0.224    0.000    0.967    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/backends/xformers.py:443(forward)
